N,Attempt,Time_ms,Swaps,Comparisons,Passes
1000,1,12.967000,254464,499445,989
1000,2,13.963000,254464,499445,989
1000,3,19.946000,254464,499445,989
1000,4,12.965000,254464,499445,989
1000,5,23.936000,254464,499445,989
1000,6,19.947000,254464,499445,989
1000,7,15.018000,254464,499445,989
1000,8,7.979000,254464,499445,989
1000,9,8.039000,254464,499445,989
1000,10,7.984000,254464,499445,989
1000,11,7.974000,254464,499445,989
1000,12,8.976000,254464,499445,989
1000,13,9.019000,254464,499445,989
1000,14,7.996000,254464,499445,989
1000,15,7.987000,254464,499445,989
1000,16,9.972000,254464,499445,989
1000,17,10.972000,254464,499445,989
1000,18,11.967000,254464,499445,989
1000,19,13.963000,254464,499445,989
1000,20,13.967000,254464,499445,989
2000,1,42.926000,1000218,1998220,1960
2000,2,35.866000,1000218,1998220,1960
2000,3,32.909000,1000218,1998220,1960
2000,4,37.960000,1000218,1998220,1960
2000,5,33.911000,1000218,1998220,1960
2000,6,35.963000,1000218,1998220,1960
2000,7,33.850000,1000218,1998220,1960
2000,8,32.972000,1000218,1998220,1960
2000,9,33.848000,1000218,1998220,1960
2000,10,32.913000,1000218,1998220,1960
2000,11,34.968000,1000218,1998220,1960
2000,12,33.914000,1000218,1998220,1960
2000,13,37.899000,1000218,1998220,1960
2000,14,35.910000,1000218,1998220,1960
2000,15,33.847000,1000218,1998220,1960
2000,16,33.975000,1000218,1998220,1960
2000,17,34.841000,1000218,1998220,1960
2000,18,32.911000,1000218,1998220,1960
2000,19,32.912000,1000218,1998220,1960
2000,20,32.914000,1000218,1998220,1960
4000,1,136.634000,3968254,7994514,3916
4000,2,135.637000,3968254,7994514,3916
4000,3,144.683000,3968254,7994514,3916
4000,4,134.574000,3968254,7994514,3916
4000,5,138.630000,3968254,7994514,3916
4000,6,140.621000,3968254,7994514,3916
4000,7,130.650000,3968254,7994514,3916
4000,8,130.650000,3968254,7994514,3916
4000,9,131.648000,3968254,7994514,3916
4000,10,136.634000,3968254,7994514,3916
4000,11,135.641000,3968254,7994514,3916
4000,12,131.647000,3968254,7994514,3916
4000,13,131.648000,3968254,7994514,3916
4000,14,131.648000,3968254,7994514,3916
4000,15,134.641000,3968254,7994514,3916
4000,16,135.640000,3968254,7994514,3916
4000,17,137.698000,3968254,7994514,3916
4000,18,130.584000,3968254,7994514,3916
4000,19,131.650000,3968254,7994514,3916
4000,20,136.694000,3968254,7994514,3916
8000,1,544.544000,15924115,31986820,7864
8000,2,552.584000,15924115,31986820,7864
8000,3,546.542000,15924115,31986820,7864
8000,4,535.572000,15924115,31986820,7864
8000,5,534.570000,15924115,31986820,7864
8000,6,543.496000,15924115,31986820,7864
8000,7,546.536000,15924115,31986820,7864
8000,8,547.536000,15924115,31986820,7864
8000,9,539.559000,15924115,31986820,7864
8000,10,532.642000,15924115,31986820,7864
8000,11,543.546000,15924115,31986820,7864
8000,12,553.520000,15924115,31986820,7864
8000,13,543.545000,15924115,31986820,7864
8000,14,535.525000,15924115,31986820,7864
8000,15,543.593000,15924115,31986820,7864
8000,16,540.624000,15924115,31986820,7864
8000,17,554.515000,15924115,31986820,7864
8000,18,544.482000,15924115,31986820,7864
8000,19,544.611000,15924115,31986820,7864
8000,20,537.561000,15924115,31986820,7864
16000,1,2206.170000,64012224,127951245,15714
16000,2,2167.206000,64012224,127951245,15714
16000,3,2174.117000,64012224,127951245,15714
16000,4,2168.243000,64012224,127951245,15714
16000,5,2177.185000,64012224,127951245,15714
16000,6,2212.027000,64012224,127951245,15714
16000,7,2161.223000,64012224,127951245,15714
16000,8,2177.182000,64012224,127951245,15714
16000,9,2161.290000,64012224,127951245,15714
16000,10,2181.103000,64012224,127951245,15714
16000,11,2198.122000,64012224,127951245,15714
16000,12,2184.222000,64012224,127951245,15714
16000,13,2215.080000,64012224,127951245,15714
16000,14,2189.148000,64012224,127951245,15714
16000,15,2167.205000,64012224,127951245,15714
16000,16,2211.089000,64012224,127951245,15714
16000,17,2193.132000,64012224,127951245,15714
16000,18,2219.062000,64012224,127951245,15714
16000,19,2353.702000,64012224,127951245,15714
16000,20,2435.416000,64012224,127951245,15714
32000,1,8907.288000,255782466,511931025,31674
32000,2,8793.556000,255782466,511931025,31674
32000,3,10399.186000,255782466,511931025,31674
32000,4,9339.033000,255782466,511931025,31674
32000,5,9032.854000,255782466,511931025,31674
32000,6,9091.833000,255782466,511931025,31674
32000,7,9084.773000,255782466,511931025,31674
32000,8,9260.305000,255782466,511931025,31674
32000,9,9263.178000,255782466,511931025,31674
32000,10,9083.755000,255782466,511931025,31674
32000,11,9109.704000,255782466,511931025,31674
32000,12,9131.521000,255782466,511931025,31674
32000,13,9112.901000,255782466,511931025,31674
32000,14,9100.581000,255782466,511931025,31674
32000,15,9153.575000,255782466,511931025,31674
32000,16,9206.387000,255782466,511931025,31674
32000,17,9268.653000,255782466,511931025,31674
32000,18,9472.970000,255782466,511931025,31674
32000,19,9398.990000,255782466,511931025,31674
32000,20,9327.134000,255782466,511931025,31674
64000,1,38159.033000,1029011499,2047956219,63846
64000,2,37785.175000,1029011499,2047956219,63846
64000,3,38131.233000,1029011499,2047956219,63846
64000,4,40023.008000,1029011499,2047956219,63846
64000,5,38502.072000,1029011499,2047956219,63846
64000,6,38340.447000,1029011499,2047956219,63846
64000,7,38247.821000,1029011499,2047956219,63846
64000,8,38336.504000,1029011499,2047956219,63846
64000,9,38372.359000,1029011499,2047956219,63846
64000,10,38477.192000,1029011499,2047956219,63846
64000,11,39316.954000,1029011499,2047956219,63846
64000,12,39017.814000,1029011499,2047956219,63846
64000,13,41809.846000,1029011499,2047956219,63846
64000,14,40259.375000,1029011499,2047956219,63846
64000,15,39821.608000,1029011499,2047956219,63846
64000,16,40960.690000,1029011499,2047956219,63846
64000,17,42017.656000,1029011499,2047956219,63846
64000,18,40824.863000,1029011499,2047956219,63846
64000,19,41042.474000,1029011499,2047956219,63846
64000,20,40384.898000,1029011499,2047956219,63846
128000,1,167300.130000,4111072298,8191876315,127654
128000,2,167048.607000,4111072298,8191876315,127654
128000,3,158639.955000,4111072298,8191876315,127654
128000,4,162165.851000,4111072298,8191876315,127654
128000,5,162918.761000,4111072298,8191876315,127654
128000,6,166690.894000,4111072298,8191876315,127654
128000,7,164719.286000,4111072298,8191876315,127654
128000,8,173537.506000,4111072298,8191876315,127654
128000,9,172495.416000,4111072298,8191876315,127654
128000,10,168810.063000,4111072298,8191876315,127654
128000,11,169615.102000,4111072298,8191876315,127654
128000,12,164217.000000,4111072298,8191876315,127654
128000,13,164825.376000,4111072298,8191876315,127654
128000,14,164692.731000,4111072298,8191876315,127654
128000,15,164936.081000,4111072298,8191876315,127654
128000,16,167720.605000,4111072298,8191876315,127654
128000,17,182883.059000,4111072298,8191876315,127654
128000,18,165712.981000,4111072298,8191876315,127654
128000,19,166850.159000,4111072298,8191876315,127654
128000,20,173761.910000,4111072298,8191876315,127654
